사업장명,소재지전체주소
굿모닝세탁,"서울특별시 종로구 내수동 72번지 경희궁의 아침3단지 B101, B102호 "
충남사,서울특별시 종로구 창신동 142-44번지 
백영사,서울특별시 종로구 부암동 313-1번지 
클린포뷰티,서울특별시 종로구 명륜1가 10-1번지 1층 
크린토피아 성북지사,서울특별시 종로구 명륜1가 10-1번지 
세종,서울특별시 종로구 당주동 100번지 세종빌딩 지하동 121호
백양,서울특별시 종로구 계동 140-24번지 
아남세탁소,서울특별시 종로구 명륜2가 4번지 아람아파트 지상동 207호
한양사,서울특별시 종로구 봉익동 22번지 
명진사,서울특별시 종로구 창신동 583-66번지 
신흥,서울특별시 종로구 홍지동 127-27번지 
백광사,서울특별시 종로구 익선동 22-2번지 
신광전자크리닝,서울특별시 종로구 숭인동 1047번지 1층 
금강세탁,서울특별시 종로구 평창동 64-3번지 
서울세탁소,서울특별시 종로구 내수동 71번지 
쌍용크리닝,서울특별시 종로구 창신동 702번지 쌍용A상가 3층동 0305호
광화문명품세탁,서울특별시 종로구 내수동 75번지 용비어천가 지하 111호 
그린,서울특별시 종로구 평창동 596번지 삼성A)101-101 
태화세탁,서울특별시 종로구 인사동 194-27번지 
현대명품 컴퓨터크리닝,서울특별시 종로구 명륜2가 71-1번지 1층 
백양명품세탁소,서울특별시 종로구 평창동 341번지 
신화세탁,서울특별시 종로구 숭인동 63-13번지 1층 
한일사,서울특별시 종로구 낙원동 49번지 1층 
종로타운 세탁소,서울특별시 종로구 종로1가 24번지 르메이에르 종로타운  B105-4 
대지세탁소,서울특별시 종로구 무악동 45-66번지 
동명사,서울특별시 종로구 내수동 84번지 파크팰리스지하104호 
국제,서울특별시 종로구 행촌동 210-119번지 
포시즌스 호텔 서울(Fourseasons Hotel Seoul),서울특별시 종로구 당주동 29번지 
일광세탁소(끝손질),서울특별시 종로구 충신동 22번지 
세영사,서울특별시 종로구 신영동 240번지 
두산세탁소,서울특별시 종로구 창신동 232번지 두산상가 202호 
민세탁,서울특별시 종로구 중학동 110-2번지 
