사업장명,소재지전체주소,Item1,Item2,Item3,Item4,Item5,Item6,Items,Price,Date
굿모닝세탁,"서울특별시 종로구 내수동 72번지 경희궁의 아침3단지 B101, B102호 ",드라이크리닝,면세탁,흔적제거,null,null,null,"드라이크리닝,면세탁,흔적제거,null,null,null",4000,2020-9-26
충남사,서울특별시 종로구 창신동 142-44번지 ,명품크리닝,면세탁,명품크리닝,null,드라이크리닝,null,"명품크리닝,면세탁,명품크리닝,null,드라이크리닝,null",5500,2020-9-4
백영사,서울특별시 종로구 부암동 313-1번지 ,면세탁,null,면세탁,면세탁,null,null,"면세탁,null,면세탁,면세탁,null,null",1500,2020-9-15
클린포뷰티,서울특별시 종로구 명륜1가 10-1번지 1층 ,운동화세탁,null,드라이크리닝,명품크리닝,운동화세탁,면세탁,"운동화세탁,null,드라이크리닝,명품크리닝,운동화세탁,면세탁",6500,2020-9-19
크린토피아 성북지사,서울특별시 종로구 명륜1가 10-1번지 ,드라이크리닝,흔적제거,드라이크리닝,운동화세탁,명품크리닝,null,"드라이크리닝,흔적제거,드라이크리닝,운동화세탁,명품크리닝,null",8000,2020-9-23
세종,서울특별시 종로구 당주동 100번지 세종빌딩 지하동 121호,명품크리닝,null,null,운동화세탁,null,면세탁,"명품크리닝,null,null,운동화세탁,null,면세탁",4000,2020-8-24
백양,서울특별시 종로구 계동 140-24번지 ,명품크리닝,null,null,null,명품크리닝,정장세탁,"명품크리닝,null,null,null,명품크리닝,정장세탁",7000,2020-8-27
아남세탁소,서울특별시 종로구 명륜2가 4번지 아람아파트 지상동 207호,드라이크리닝,드라이크리닝,명품크리닝,드라이크리닝,null,정장세탁,"드라이크리닝,드라이크리닝,명품크리닝,드라이크리닝,null,정장세탁",8000,2020-9-8
한양사,서울특별시 종로구 봉익동 22번지 ,흔적제거,null,정장세탁,null,null,null,"흔적제거,null,정장세탁,null,null,null",5500,2020-9-6
명진사,서울특별시 종로구 창신동 583-66번지 ,면세탁,null,정장세탁,면세탁,흔적제거,null,"면세탁,null,정장세탁,면세탁,흔적제거,null",6500,2020-8-18
신흥,서울특별시 종로구 홍지동 127-27번지 ,흔적제거,정장세탁,null,드라이크리닝,null,흔적제거,"흔적제거,정장세탁,null,드라이크리닝,null,흔적제거",9000,2020-8-23
백광사,서울특별시 종로구 익선동 22-2번지 ,운동화세탁,null,정장세탁,정장세탁,명품크리닝,null,"운동화세탁,null,정장세탁,정장세탁,명품크리닝,null",9500,2020-8-2
신광전자크리닝,서울특별시 종로구 숭인동 1047번지 1층 ,운동화세탁,명품크리닝,정장세탁,null,null,면세탁,"운동화세탁,명품크리닝,정장세탁,null,null,면세탁",7000,2020-9-2
금강세탁,서울특별시 종로구 평창동 64-3번지 ,면세탁,흔적제거,null,null,흔적제거,null,"면세탁,흔적제거,null,null,흔적제거,null",5500,2020-8-28
서울세탁소,서울특별시 종로구 내수동 71번지 ,정장세탁,드라이크리닝,null,드라이크리닝,면세탁,흔적제거,"정장세탁,드라이크리닝,null,드라이크리닝,면세탁,흔적제거",8000,2020-9-5
쌍용크리닝,서울특별시 종로구 창신동 702번지 쌍용A상가 3층동 0305호,명품크리닝,null,드라이크리닝,정장세탁,null,드라이크리닝,"명품크리닝,null,드라이크리닝,정장세탁,null,드라이크리닝",7000,2020-9-28
광화문명품세탁,서울특별시 종로구 내수동 75번지 용비어천가 지하 111호 ,흔적제거,null,운동화세탁,운동화세탁,null,운동화세탁,"흔적제거,null,운동화세탁,운동화세탁,null,운동화세탁",7000,2020-9-18
그린,서울특별시 종로구 평창동 596번지 삼성A)101-101 ,면세탁,흔적제거,명품크리닝,정장세탁,정장세탁,흔적제거,"면세탁,흔적제거,명품크리닝,정장세탁,정장세탁,흔적제거",13500,2020-9-5
태화세탁,서울특별시 종로구 인사동 194-27번지 ,명품크리닝,흔적제거,운동화세탁,null,null,면세탁,"명품크리닝,흔적제거,운동화세탁,null,null,면세탁",6500,2020-8-2
현대명품 컴퓨터크리닝,서울특별시 종로구 명륜2가 71-1번지 1층 ,드라이크리닝,null,명품크리닝,명품크리닝,null,정장세탁,"드라이크리닝,null,명품크리닝,명품크리닝,null,정장세탁",8000,2020-9-13
백양명품세탁소,서울특별시 종로구 평창동 341번지 ,흔적제거,null,null,null,null,null,"흔적제거,null,null,null,null,null",2500,2020-9-28
신화세탁,서울특별시 종로구 숭인동 63-13번지 1층 ,면세탁,null,드라이크리닝,흔적제거,흔적제거,정장세탁,"면세탁,null,드라이크리닝,흔적제거,흔적제거,정장세탁",9500,2020-9-23
한일사,서울특별시 종로구 낙원동 49번지 1층 ,흔적제거,흔적제거,정장세탁,null,null,null,"흔적제거,흔적제거,정장세탁,null,null,null",8000,2020-8-8
종로타운 세탁소,서울특별시 종로구 종로1가 24번지 르메이에르 종로타운  B105-4 ,명품크리닝,null,null,null,드라이크리닝,null,"명품크리닝,null,null,null,드라이크리닝,null",3000,2020-9-26
